timestamp,depth,pressure,rpm,temperature,wob
2026-06-13 10:00:00,1011,3526,116,91,15.0
2026-06-13 10:01:00,1019,3995,120,122,12.4
2026-06-13 10:02:00,1031,3122,123,98,9.3
2026-06-13 10:03:00,1040,3128,104,80,11.5
2026-06-13 10:04:00,1051,3535,118,97,13.2
2026-06-13 10:05:00,1065,3258,105,104,11.7
2026-06-13 10:06:00,1072,3940,117,96,11.6
2026-06-13 10:07:00,1083,3470,129,87,10.2
2026-06-13 10:08:00,1095,2984,110,70,10.4
2026-06-13 10:09:00,1104,2742,105,86,12.6
2026-06-13 10:10:00,1112,3323,133,110,13.2
2026-06-13 10:11:00,1124,3319,109,80,11.6
2026-06-13 10:12:00,1136,3460,106,85,10.8
2026-06-13 10:13:00,1143,3774,131,102,13.9
2026-06-13 10:14:00,1153,3728,109,97,10.9
2026-06-13 10:15:00,1162,3147,131,74,12.7
2026-06-13 10:16:00,1168,2897,120,89,13.3
2026-06-13 10:17:00,1180,2918,128,107,8.8
2026-06-13 10:18:00,1190,3092,119,90,12.3
2026-06-13 10:19:00,1196,3222,127,107,5.3
2026-06-13 10:20:00,1205,3457,111,108,11.7
2026-06-13 10:21:00,1210,3070,113,79,13.4
2026-06-13 10:22:00,1224,3448,101,86,12.8
2026-06-13 10:23:00,1234,3477,126,98,14.0
2026-06-13 10:24:00,1247,3400,121,72,12.9
2026-06-13 10:25:00,1252,2955,110,87,10.6
2026-06-13 10:26:00,1266,3514,104,97,8.2
2026-06-13 10:27:00,1273,4078,120,83,12.3
2026-06-13 10:28:00,1284,3436,131,97,13.2
2026-06-13 10:29:00,1292,2500,117,83,7.6
2026-06-13 10:30:00,1305,3784,113,83,13.0
2026-06-13 10:31:00,1312,3104,111,99,12.2
2026-06-13 10:32:00,1321,4143,128,106,11.1
2026-06-13 10:33:00,1328,3391,112,81,13.1
2026-06-13 10:34:00,1339,2760,115,75,11.3
2026-06-13 10:35:00,1348,2627,126,90,11.2
2026-06-13 10:36:00,1361,3889,123,96,8.8
2026-06-13 10:37:00,1372,3737,115,81,13.0
2026-06-13 10:38:00,1378,4129,112,110,8.7
2026-06-13 10:39:00,1386,3354,130,88,10.3
2026-06-13 10:40:00,1399,3330,109,81,13.1
2026-06-13 10:41:00,1405,3216,116,113,11.6
2026-06-13 10:42:00,1419,3120,106,105,16.3
2026-06-13 10:43:00,1432,3213,128,81,13.5
2026-06-13 10:44:00,1446,3426,114,103,13.9
2026-06-13 10:45:00,1455,3055,112,82,14.1
2026-06-13 10:46:00,1461,2766,123,99,11.4
2026-06-13 10:47:00,1469,3406,107,111,10.7
2026-06-13 10:48:00,1480,3047,123,75,9.0
2026-06-13 10:49:00,1492,2500,115,84,8.4
2026-06-13 10:50:00,1499,3543,108,84,14.9
2026-06-13 10:51:00,1504,2962,110,93,10.4
2026-06-13 10:52:00,1512,3582,113,96,14.2
2026-06-13 10:53:00,1518,3573,114,89,8.3
2026-06-13 10:54:00,1530,3449,108,70,11.5
2026-06-13 10:55:00,1538,4224,120,75,15.2
2026-06-13 10:56:00,1544,3302,108,79,12.7
2026-06-13 10:57:00,1554,3250,99,97,12.7
2026-06-13 10:58:00,1564,3589,133,73,10.5
2026-06-13 10:59:00,1578,3331,120,79,9.7
2026-06-13 11:00:00,1586,3756,134,76,11.9
2026-06-13 11:01:00,1596,2906,110,94,9.2
2026-06-13 11:02:00,1602,2912,122,104,11.7
2026-06-13 11:03:00,1616,3618,125,92,14.5
2026-06-13 11:04:00,1622,2942,116,114,8.8
2026-06-13 11:05:00,1636,3563,106,92,13.6
2026-06-13 11:06:00,1644,3480,116,89,14.5
2026-06-13 11:07:00,1656,3107,123,81,11.3
2026-06-13 11:08:00,1667,3479,123,92,12.1
2026-06-13 11:09:00,1680,2918,118,80,10.8
2026-06-13 11:10:00,1692,3000,125,78,11.2
2026-06-13 11:11:00,1701,3267,125,78,14.0
2026-06-13 11:12:00,1707,3378,114,87,13.8
2026-06-13 11:13:00,1716,3244,106,84,13.0
2026-06-13 11:14:00,1728,3502,120,122,13.5
2026-06-13 11:15:00,1742,3486,112,93,12.5
2026-06-13 11:16:00,1755,3885,119,92,8.9
2026-06-13 11:17:00,1768,3317,129,83,14.7
2026-06-13 11:18:00,1773,3768,121,127,9.8
2026-06-13 11:19:00,1786,3672,128,79,11.7
2026-06-13 11:20:00,1797,4153,110,84,14.1
2026-06-13 11:21:00,1810,3305,127,102,8.5
2026-06-13 11:22:00,1822,3203,131,92,13.6
2026-06-13 11:23:00,1827,3790,119,75,9.0
2026-06-13 11:24:00,1839,3485,137,90,13.5
2026-06-13 11:25:00,1851,3799,111,98,15.0
2026-06-13 11:26:00,1858,3601,113,96,10.2
2026-06-13 11:27:00,1863,2613,123,98,9.8
2026-06-13 11:28:00,1875,3482,118,116,12.2
2026-06-13 11:29:00,1882,3459,112,93,9.8
2026-06-13 11:30:00,1889,3397,123,100,6.6
2026-06-13 11:31:00,1894,3304,121,61,11.9
2026-06-13 11:32:00,1903,2793,113,112,12.8
2026-06-13 11:33:00,1917,3656,120,91,11.2
2026-06-13 11:34:00,1928,3481,124,80,12.3
2026-06-13 11:35:00,1942,3736,113,88,14.6
2026-06-13 11:36:00,1955,2811,122,98,11.1
2026-06-13 11:37:00,1966,3527,111,102,11.4
2026-06-13 11:38:00,1979,3268,113,89,12.0
2026-06-13 11:39:00,1991,3400,127,97,11.2
2026-06-13 11:40:00,1997,3272,123,87,11.2
2026-06-13 11:41:00,2002,3540,103,96,16.3
2026-06-13 11:42:00,2013,3293,115,92,12.3
2026-06-13 11:43:00,2024,2982,122,94,11.3
2026-06-13 11:44:00,2036,3380,119,86,15.5
2026-06-13 11:45:00,2045,3275,123,95,14.7
2026-06-13 11:46:00,2052,3321,119,80,13.6
2026-06-13 11:47:00,2064,2500,117,92,10.5
2026-06-13 11:48:00,2074,3589,117,82,18.8
2026-06-13 11:49:00,2081,3240,127,78,8.1
2026-06-13 11:50:00,2086,2878,124,82,7.5
2026-06-13 11:51:00,2093,3673,121,88,13.0
2026-06-13 11:52:00,2102,3573,119,84,11.1
2026-06-13 11:53:00,2109,3235,114,95,5.8
2026-06-13 11:54:00,2114,2947,116,91,11.6
2026-06-13 11:55:00,2123,3412,127,102,12.2
2026-06-13 11:56:00,2137,3393,126,89,11.6
2026-06-13 11:57:00,2148,3674,113,92,12.8
2026-06-13 11:58:00,2159,3195,119,112,10.8
2026-06-13 11:59:00,2172,3768,122,85,11.7
2026-06-13 12:00:00,2186,3161,121,87,15.3
2026-06-13 12:01:00,2200,2879,121,104,14.4
2026-06-13 12:02:00,2207,2954,109,79,11.5
2026-06-13 12:03:00,2218,3328,109,106,13.4
2026-06-13 12:04:00,2223,3327,127,87,14.2
2026-06-13 12:05:00,2231,3465,130,80,9.7
2026-06-13 12:06:00,2239,3318,106,101,12.8
2026-06-13 12:07:00,2248,3692,118,87,12.4
2026-06-13 12:08:00,2259,3259,125,112,13.6
2026-06-13 12:09:00,2270,2651,100,91,9.6
2026-06-13 12:10:00,2278,3308,109,91,11.9
2026-06-13 12:11:00,2289,2648,117,83,10.1
2026-06-13 12:12:00,2296,3445,113,88,12.8
2026-06-13 12:13:00,2306,3720,120,87,9.9
2026-06-13 12:14:00,2312,3005,130,106,10.6
2026-06-13 12:15:00,2326,3846,111,93,12.3
2026-06-13 12:16:00,2339,3645,118,98,9.6
2026-06-13 12:17:00,2348,3772,115,91,8.0
2026-06-13 12:18:00,2358,3416,119,85,14.6
2026-06-13 12:19:00,2366,3003,118,94,10.4
2026-06-13 12:20:00,2380,3623,139,109,8.5
2026-06-13 12:21:00,2391,3131,130,77,9.2
2026-06-13 12:22:00,2404,3391,105,95,11.8
2026-06-13 12:23:00,2415,3290,111,108,15.9
2026-06-13 12:24:00,2420,3744,112,80,11.7
